id,composerkey,title,genre,form,performer,pageurl,mediaurl
1810,STRAVINSKYIGOR,?,classical,30,Philadelphia Symphony Orchestra,https://archive.org/details/VrsAcoustics-64926493-PhiladelphiaSymphonyOrchestra,https://archive.org/download/VrsAcoustics-64926493-PhiladelphiaSymphonyOrchestra/PhilSymph_6492-93_64kb.mp3
1811,STRAVINSKYIGOR,?,classical,30,Philadelphia Symphony Orchestra,https://archive.org/details/VrsAcoustics-64926493-PhiladelphiaSymphonyOrchestra_240,https://archive.org/download/VrsAcoustics-64926493-PhiladelphiaSymphonyOrchestra_240/PhilSymph_6492-93_64kb.mp3
8790,VERDIGIUSEPPE,La donna e mobile,classical,30,,https://archive.org/details/La_donna_e_mobile,https://archive.org/download/La_donna_e_mobile/Caruso_La_donna_e_mobile_64kb.mp3
9200,VERDIGIUSEPPE,Luisa Tetrazzini Caro nome 88295,classical,30,,https://archive.org/details/LuisaTetrazziniCaroNome88295,https://archive.org/download/LuisaTetrazziniCaroNome88295/tetrazzini_caro_nome_64kb.mp3
5977,SULLIVANARTHUR,After dinner toast at Little Menlo,classical,30,,https://archive.org/details/EDIS-SRP-0155-14,https://archive.org/download/EDIS-SRP-0155-14/EDIS-SRP-0155-14.mp3
6823,SULLIVANARTHUR,Gilbert & Sullivan: Trial by Jury,classical,30,,https://archive.org/details/GilbertSullivanTrialByJury_696,https://archive.org/download/GilbertSullivanTrialByJury_696/GSTrialByJury.mp3
1260,SULLIVANARTHUR,The Lost Chord 1912,classical,30,,https://archive.org/details/The_Lost_Chord_1912,https://archive.org/download/The_Lost_Chord_1912/Caruso_The_Lost_Chord_1912_64kb.mp3
1259,SULLIVANARTHUR,The Lost Chord,classical,30,,https://archive.org/details/The_Lost_Chord,https://archive.org/download/The_Lost_Chord/Caruso_Lost_Chord_64kb.mp3
1021,TCHAIKOVSKYPYOTRILYI,Dance of the Flutes,classical,30,,https://archive.org/details/TchaikovskyDanceOfTheFlutes,https://archive.org/download/TchaikovskyDanceOfTheFlutes/DanceOfTheFlutes.mp3
1787,TCHAIKOVSKYPYOTRILYI,?,classical,30,New York Philharmonic Orchestra,https://archive.org/details/VrsAcoustics-6427a-NewYorkPhilharmonicOrchestra,https://archive.org/download/VrsAcoustics-6427a-NewYorkPhilharmonicOrchestra/NYPhil_6427A_64kb.mp3
4881,TCHAIKOVSKYPYOTRILYI,Pourquoi?,classical,30,Caruso,https://archive.org/details/CarusoPourquoi,https://archive.org/download/CarusoPourquoi/Caruso_Pourquoi.mp3
1981,TCHAIKOVSKYPYOTRILYI,?,classical,30,Philadelphia Symphony Orchestra,https://archive.org/details/VrsAcoustics-74713-PhiladelphiaSymphonyOrchestra,https://archive.org/download/VrsAcoustics-74713-PhiladelphiaSymphonyOrchestra/PhilSymph_74713_64kb.mp3
1817,TCHAIKOVSKYPYOTRILYI,?,classical,30,Feodor Chaliapin,https://archive.org/details/VrsAcoustics-6532b-FeodorChaliapin,https://archive.org/download/VrsAcoustics-6532b-FeodorChaliapin/Chaliapin_6532B_64kb.mp3
2742,VERDIGIUSEPPE,"Ah, La Paterna Mano",classical,30,,https://archive.org/details/Ah_La_Paterna_Mano,https://archive.org/download/Ah_La_Paterna_Mano/Ah_La_Paterna_Mano_64kb.mp3
8795,VERDIGIUSEPPE,La Fatal Pietra,classical,30,,https://archive.org/details/LaFatalPietra,https://archive.org/download/LaFatalPietra/La_fatal_pietra_64kb.mp3
9243,VERDIGIUSEPPE,Mai Reggendo All'Aspro,classical,30,,https://archive.org/details/Mai_Reggendo_AllAspro,https://archive.org/download/Mai_Reggendo_AllAspro/Caruso_Mai_reggendo_Allaspro_assalto_64kb.mp3
4870,VERDIGIUSEPPE,Gia i sacerdoti adunansi,classical,30,Caruso,https://archive.org/details/CarusoGiaISacerdotiAdunansi,https://archive.org/download/CarusoGiaISacerdotiAdunansi/Caruso_Gia_I_Sacerdoti_Adunansi_64kb.mp3
4908,VERDIGIUSEPPE,Celeste Aida 1908,classical,30,,https://archive.org/details/CelesteAida1908,https://archive.org/download/CelesteAida1908/Celeste_Aida_1908_64kb.mp3
1962,VERDIGIUSEPPE,?,classical,30,Alfred Cortot,https://archive.org/details/VrsAcoustics-74636-AlfredCortot,https://archive.org/download/VrsAcoustics-74636-AlfredCortot/Cortot_74636_64kb.mp3
