id|source|sourceid|composerkey|title|genre|form|sourcetitle|performer
  3749 | 78rpm  | BeethovenPianoSonataNo.10                               | BEETHOVEN            | Piano Sonata No. 10                                                    | classical | 30              | Beethoven: Piano Sonata No. 10                                         | 
  3750 | 78rpm  | BeethovenPianoSonataNo.11                               | BEETHOVEN            | Piano Sonata No. 11                                                    | classical | 30              | Beethoven: Piano Sonata No. 11                                         | 
  3751 | 78rpm  | BeethovenPianoSonataNo.12                               | BEETHOVEN            | Piano Sonata No. 12                                                    | classical | 30              | Beethoven Piano Sonata No. 12                                          | 
  3752 | 78rpm  | BeethovenPianoSonataNo.14moonlight                      | BEETHOVEN            | Piano Sonata No. 14,                                                   | classical | 30              | Beethoven: Piano Sonata No. 14,                                        | 
  9581 | 78rpm  | MiParDudirAncora                                        | BIZET                | Mi Par D'udir Ancora                                                   | classical | 30              | Mi Par D'udir Ancora                                                   | 
  7847 | 78rpm  | Il_fior_che_avevi_a_me_dato                             | BIZET                | Il fior che avevi a me dato                                            | classical | 30              | Il_fior_che_avevi_a_me_dato                                            | 
  8278 | 78rpm  | Je_Crois_Entendre_Encore                                | BIZET                | Je Crois Entendre Encore                                               | classical | 30              | Je_Crois_Entendre_Encore                                               | 
  8796 | 78rpm  | La_Fleur_Que_Tu_MAvais_Jetee                            | BIZET                | La Fleur Que Tu M'Avais Jetee                                          | classical | 30              | La_Fleur_Que_Tu_M'Avais_Jetee                                          | 
  1996 | 78rpm  | VrsAcoustics-74792-FlonzaleyQuartet                     | BEETHOVEN            | ?                                                                      | classical | 30              | VRS Acoustics - 74792 - Flonzaley Quartet                              | 
  2144 | 78rpm  | VrsAcoustics-88657-FeodorChaliapin                      | BEETHOVEN            | ?                                                                      | classical | 30              | VRS Acoustics - 88657 - Feodor Chaliapin                               | 
  1969 | 78rpm  | VrsAcoustics-74661-PhiladelphiaSymphonyOrchestra        | BEETHOVEN            | ?                                                                      | classical | 30              | VRS Acoustics - 74661 - Philadelphia Symphony Orchestra                | 
  1979 | 78rpm  | VrsAcoustics-74710-FlonzaleyQuartet                     | BEETHOVEN            | ?                                                                      | classical | 30              | VRS Acoustics - 74710 - Flonzaley Quartet                              | 
  1990 | 78rpm  | VrsAcoustics-74754-FlonzaleyQuartet                     | BEETHOVEN            | ?                                                                      | classical | 30              | VRS Acoustics - 74754 - Flonzaley Quartet                              | 
